Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662b5e161c7a141823cddef1,65a53f52a8e15bf1de72f9fe,APPROVED,Not Applicable,2024-04-26T07:56:06.578000Z,2024-04-26T08:28:35.941000Z,2024-04-29T20:54:45.614000Z,2024-04-26T08:28:36.433335Z,1950.0,CW8BWO89,56,Yes,54,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
662b5e1eb34c79563ddba349,5fb3fcb82df261033a5f6e0e,APPROVED,Not Applicable,2024-04-26T07:56:14.586000Z,2024-04-26T08:28:22.661000Z,2024-04-29T20:54:45.843000Z,2024-04-26T08:28:29.205946Z,1929.0,CW8BWO89,436,Yes,21,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
662b5e20ae206f5beb38da7f,5ef17db9225ac500093b525a,RETURNED,Not Applicable,2024-04-26T07:56:43.139000Z,,,2024-05-06T11:14:00.739888Z,,,154,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e2229d54d061c001a89,5e8228e861db52053a287496,RETURNED,Not Applicable,2024-04-26T07:56:18.882000Z,,,2024-05-06T11:14:00.745159Z,,,166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e252cdf40cc8eb97bce,612d16ff90c1ff5cff902e18,APPROVED,Not Applicable,2024-04-26T07:56:21.304000Z,2024-04-26T08:39:30.114000Z,2024-04-29T20:54:46.036000Z,2024-04-26T08:41:31.486228Z,2589.0,CW8BWO89,357,Yes,44,Female,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
662b5e2af2bc1a23548170ac,60d43bf6fb7d47dfd6a353a2,RETURNED,Not Applicable,2024-04-26T07:56:26.078000Z,,,2024-05-06T11:14:00.748295Z,,,199,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e3151515fae1a3f9eac,611e9edc36412a2229340a0d,RETURNED,Not Applicable,2024-04-26T08:06:33.307000Z,,,2024-05-06T11:14:00.751921Z,,,393,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e37ac8ae6e1d092ac54,655779cc52010a3963da539d,RETURNED,Not Applicable,2024-04-26T07:58:37.587000Z,,,2024-05-06T11:14:00.755244Z,,,123,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e3cfaa704f8b8816f98,5d31c6bac88f0e00164c3ccb,RETURNED,Not Applicable,2024-04-26T08:06:44.152000Z,,,2024-05-06T11:14:00.758343Z,,,1017,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e4048f84b68f678ba6c,615da6ef136d2d771b3efee0,RETURNED,Not Applicable,2024-04-26T07:56:48.228000Z,,,2024-05-06T11:14:00.758515Z,,,191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
